,ca1_d_0,ca1_d_1,ca1_d_2,ca1_v_0,ca1_v_1,ca1_v_2,ca2_0,ca2_1,ca2_2,ca3_d_0,ca3_d_1,ca3_d_2,ca3_v_0,ca3_v_1,ca3_v_2,ca4_0,ca4_1,ca4_2,dg_d_0,dg_d_1,dg_d_2,dg_v_0,dg_v_1,dg_v_2
ENSMUSG00000078588,0.539888,0.61038,0.312684,2.46959,0.370622,1.62164,1.24438,1.06859,0.478798,0.418324,0.381263,0.613164,1.45502,0.54423,1.42096,1.29097,3.79293,1.5825,0.0,0.0,0.0,2.32837,0.116878,0.553597
ENSMUSG00000078590,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000078591,14.4824,14.6738,16.5639,22.8201,11.4687,14.2954,83.8347,77.2432,77.719,96.1873,117.419,102.066,44.3674,45.2604,10.1204,2.0422,0.995257,0.13757,0.0461384,3.59358,0.205174,1.44336,2.13718,2.96224
ENSMUSG00000078592,0.171029,0.107277,0.194707,0.145256,0.0,0.0,0.204731,0.0535126,0.0,0.0590869,0.107866,0.0582042,0.0901981,0.129889,0.186397,0.0454516,0.0,0.0547295,0.146842,0.490159,0.0,0.0665754,0.229277,0.0683168
ENSMUSG00000078593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000078595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.738387,0.0,0.0,0.0744159,0.0762658,0.0896062,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000078597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000078598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000078599,0.0165993,0.0975842,0.188974,0.112783,0.0,0.0,0.0993511,0.0,0.082462,0.114694,0.0418758,0.0451923,0.0700337,0.0336173,0.0578908,0.0,0.0,0.0424944,0.0,0.19029,0.507013,0.413536,0.356041,0.769918
ENSMUSG00000078600,0.0,0.0,0.0,0.0,0.0,0.655752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
